id,cid,tp,onstop,offstop,ridestart,ridedis,ridetime,fair,transcount,onx,ony,offx,offy,hours,hoursend,dis,function1,function2,EXTRA
557,2.00E+15,2,53391,53341,67169,2,8.07,0.36,0,371732.9,149729.14,370274.4,150745.65,6.22,6.22,0,662,462,11.05
558,2.00E+15,2,84131,96111,35762,3.7,8.98,0.41,0,380695.78,146080.96,383566.64,147439.28,3.31,3.31,0,633,433,11.05
560,9.00E+15,1,22009,27369,73554,2.2,13.38,0.71,0,356012.5,148106.56,354713.46,148464.76,6.81,6.81,0,868,768,11.05
561,9.00E+15,1,10139,10109,52131,0.6,1.68,0.71,0,367398.29,142202.54,368013.06,142096.71,4.83,4.83,0,848,748,11.05
562,9.00E+15,1,5023,81159,83676,6.7,26.22,1.09,0,371553.95,142274.74,376221.67,145007.68,7.75,7.75,0,877,778,11.05
565,2.00E+15,1,64499,54349,44148,3.9,13.05,0.81,0,375230.47,151998.22,371850.93,151984.96,4.09,4.09,0,840,741,11.05
566,9.00E+15,1,43491,42259,41922,5.8,14.27,1.01,0,360617.16,150799.03,363942.15,148267.92,3.88,3.88,0,838,739,11.05
572,2.00E+15,2,11009,11159,24644,2.2,8.35,0.36,0,365306.85,144945.15,366895.12,143497.69,2.28,2.28,0,622,423,11.05
576,9.00E+15,1,11021,17009,62773,9.8,31.95,1.25,0,366748.28,142551.02,362422.89,145551.34,5.81,5.82,1,859,759,11.05
580,2.00E+15,2,11151,11009,49551,2.3,10.5,0.36,0,366769.79,143570.09,365306.85,144945.15,4.59,4.59,0,645,446,11.05
593,9.00E+15,1,80069,14141,25309,9.8,32.93,1.25,0,375084.03,145054.43,368952.77,139907.25,2.34,2.35,1,824,724,11.05
594,9.00E+15,1,54241,63311,67238,3.7,17.2,0.81,0,371652.75,151357.64,375249.31,151426.68,6.23,6.23,0,862,762,11.05
602,2.00E+15,2,46579,46088,58436,1.9,5.12,0.36,0,363778.32,158634.78,363294.37,159409.31,5.41,5.41,0,654,454,11.05
606,9.00E+15,1,43419,43499,64752,1.6,4.47,0.71,0,360927.25,149436.65,360586.74,150643.77,6.00,6.00,0,859,760,11.05
607,9.00E+15,1,20291,29101,47334,2,6.08,0.71,0,361793.44,144938.57,360918.88,143564.62,4.38,4.38,0,843,744,11.05
612,2.00E+15,1,22009,27211,33457,4.5,13.62,0.91,0,356012.5,148106.56,353213.17,149039.12,3.10,3.10,0,830,731,11.05
613,8.89E+15,1,1113,60121,84401,2.9,11.38,0.71,0,372737.03,143839.74,373384.51,145955.21,7.81,7.82,0,878,778,11.05
614,9.00E+15,1,17071,20291,58985,0.4,0.68,0.71,0,362066.73,144740.4,361793.44,144938.57,5.46,5.46,0,854,755,11.05
615,8.99E+15,1,63211,64111,75611,0.9,2.4,0.71,0,374928.95,151249.03,375053.35,152106.7,7.00,7.00,0,870,770,11.05
616,9.00E+15,1,72051,71079,31740,0.9,3.63,0.71,0,378080.05,147415.32,377408.27,147672.76,2.94,2.94,0,829,729,11.05
617,9.00E+15,1,76131,65069,62251,8.7,17.93,1.21,0,382377.39,149446.82,377883.04,154223.54,5.76,5.77,1,858,759,11.05
621,9.00E+15,1,7011,63211,58568,8.3,38.5,1.21,0,372035.75,143826.15,374928.95,151249.03,5.42,5.43,1,855,755,11.05
622,8.89E+15,1,1013,40011,75966,1.4,7.75,0.71,0,372430.38,143460.47,371966.78,144378.76,7.03,7.03,0,870,770,11.05
623,9.00E+15,1,60229,54331,58366,8.8,27.58,1.21,0,374309.8,146215.66,372131.04,151150.67,5.40,5.41,1,855,755,11.05
628,9.00E+15,1,7011,64361,66471,10.7,60.83,1.29,0,372035.75,143826.15,376573.49,152156.49,6.15,6.16,1,862,763,11.05
631,2.00E+15,2,64399,65021,68648,2.1,5.55,0.36,0,376435.95,151589.76,377588.89,152998.37,6.36,6.36,0,663,464,11.05
632,9.00E+15,1,1529,1112,49106,1.2,7.3,0.71,0,373211.38,143766.75,372642.93,143720.57,4.55,4.55,0,845,745,11.05
633,2.00E+15,2,65019,64391,73636,1.6,6.48,0.36,0,377346.42,152735.59,376486.1,151615.83,6.82,6.82,0,668,468,11.05
635,8.99E+15,1,64119,63219,67107,0.9,3.3,0.71,0,375079.36,152201.95,374978.95,151292.67,6.21,6.21,0,862,762,11.05
637,2.00E+15,2,96011,75009,60934,3.5,13.87,0.41,0,383587.97,147214.27,382488.05,149744.73,5.64,5.64,0,656,456,11.05
639,2.00E+15,2,53279,53289,55880,0.3,1.27,0.36,0,372472.8,149246.18,372576.52,148963.91,5.17,5.17,0,651,452,11.05
640,9.00E+15,1,50211,1029,44411,4.1,18.28,0.81,0,372341.9,146259.52,372548.87,143350.41,4.11,4.11,0,841,741,11.05
652,9.00E+15,1,65061,76191,46507,8,12.77,1.15,0,377849.36,154220.27,382604.44,150000.46,4.31,4.31,1,844,744,11.05
653,9.00E+15,1,92049,5199,36891,10.2,36.5,1.25,0,378149.75,143968.68,371772.35,142127.01,3.42,3.42,1,835,735,11.05
656,9.00E+15,1,40029,81011,69236,6.1,34.83,1.01,0,371241.74,144981.67,375762.25,145409.86,6.41,6.41,0,864,764,11.05
658,9.00E+15,1,10061,18071,26429,6.1,21.75,1.01,0,369774.25,141354.16,364766.64,143225.25,2.45,2.45,0,824,724,11.05
660,8.99E+15,1,80071,84031,80409,6.3,18.97,1.09,0,374999.36,145241.82,380954.32,146395.32,7.45,7.45,0,874,774,11.05
661,9.00E+15,1,64009,95109,25957,21.2,56.07,1.67,0,376856.14,151563.48,387350.63,149974.72,2.40,2.41,2,826,726,11.05
663,9.00E+15,1,10119,92121,68009,14.4,77.07,1.45,0,367735.98,142163.28,378369.64,144514.04,6.30,6.30,1,863,764,11.05
668,2.00E+15,1,80231,60119,25886,4.2,11.93,0.81,0,375408.93,145777.62,373630.35,145790.28,2.40,2.40,0,823,724,11.05
671,9.00E+15,1,40231,50211,57062,4.2,14.28,0.2,1,369360.3,146171.92,372341.9,146259.52,5.28,5.28,0,852,753,11.05
674,2.00E+15,1,60121,80239,63421,4.2,14.28,0.81,0,373384.51,145955.21,375447.25,145756.25,5.87,5.87,0,858,759,11.05
676,8.89E+15,1,28539,42169,43783,8.4,32.87,1.21,0,357095.56,149234.89,363570.49,148181.72,4.05,4.06,1,841,742,11.05
680,8.99E+15,1,54261,54281,71810,0.6,1.22,0.71,0,372138.04,151392.01,372730.48,151394.95,6.65,6.65,0,866,766,11.05
684,2.00E+15,3,51089,4168,32915,7,26.38,0.81,0,370896.48,148305.99,372197.66,142843.04,3.05,3.05,0,430,131,11.05
685,9.00E+15,1,80071,71079,27084,5.3,19.15,1.01,0,374999.36,145241.82,377408.27,147672.76,2.51,2.51,0,825,725,11.05
690,2.00E+15,3,51089,1029,57309,6.4,26.32,0.81,0,370896.48,148305.99,372548.87,143350.41,5.31,5.31,0,453,153,11.05
697,8.99E+15,1,28541,28449,65489,3.9,16.22,0.71,0,357290.66,149514.18,359758.3,147724.47,6.06,6.07,0,860,761,11.05
698,9.00E+15,1,76251,76351,27679,1,4.73,0.71,0,384103.89,150317.59,383504.75,150584.64,2.56,2.56,0,825,726,11.05
704,2.00E+15,2,64619,65021,81951,3.1,9.38,0.36,0,375920.62,152350.07,377588.89,152998.37,7.59,7.59,0,675,476,11.05
